% b (um)                                          ,w (um)                                            ,Ef (eV)                                           ,freq (THz)                                        ,S11 (1)                                           ,Absorptance (1)
4.4085,11.372,0.11014,0.1,-0.9654868406467223+0.25316091089578185j          ,0.003744714
4.4085,11.372,0.11014,0.2,-0.8652262202242633+0.48654746248487213j          ,0.014655155
4.4085,11.372,0.11014,0.3,-0.7084584916055591+0.6828182409638033j           ,0.031845815
4.4085,11.372,0.11014,0.4,-0.5088203001215077+0.8288595234418005j           ,0.054093793
4.4085,11.372,0.11014,0.5,-0.28238635133290774+0.9165924042158194j          ,0.080116313
4.4085,11.372,0.11014,0.6,-0.04588987625166428+0.9429133650443581j          ,0.108808505
4.4085,11.372,0.11014,0.7,0.1845784518815179+0.9091428764978569j            ,0.139390025
4.4085,11.372,0.11014,0.8,0.3944043856247364+0.8203671487113391j            ,0.171442922
4.4085,11.372,0.11014,0.9,0.5710330095697468+0.6848911284097784j            ,0.204845444
4.4085,11.372,0.11014,1,0.7045647185139162+0.5137934972538858j            ,0.2396048
4.4085,11.372,0.11014,1.1,0.788520990327293+0.32035220131043424j            ,0.275609115
4.4085,11.372,0.11014,1.2,0.8206762400527373+0.11901149416125505j           ,0.312326773
4.4085,11.372,0.11014,1.3,0.8034822458377733-0.07631964447093213j           ,0.348591592
4.4085,11.372,0.11014,1.4,0.7434292131755832-0.25430557472787785j           ,0.38264168
4.4085,11.372,0.11014,1.5,0.6491160626920419-0.40758992240685105j           ,0.412518792
4.4085,11.372,0.11014,1.6,0.5288245309374293-0.5326002637287722j            ,0.436681575
4.4085,11.372,0.11014,1.7,0.38901602957468273-0.6278482940712784j           ,0.454473048
4.4085,11.372,0.11014,1.8,0.23452411715921279-0.6919659741527688j           ,0.466181529
4.4085,11.372,0.11014,1.9,0.0698942108279232-0.7227487452839453j            ,0.47274905
4.4085,11.372,0.11014,2,-0.0992472561509771-0.7174791684112739j           ,0.475373625
4.4085,11.372,0.11014,2.1,-0.26554104722883315-0.6740023783595058j          ,0.475208746
4.4085,11.372,0.11014,2.2,-0.4200578412848553-0.5918931178699144j           ,0.473213947
4.4085,11.372,0.11014,2.3,-0.5530409296589359-0.4733188475469717j           ,0.470114999
4.4085,11.372,0.11014,2.4,-0.6549539122431544-0.3234546944477439j           ,0.466412433
4.4085,11.372,0.11014,2.5,-0.7176202432326099-0.150424237906739j            ,0.462393735
4.4085,11.372,0.11014,2.6,-0.7352752137271872+0.03522341142171993j          ,0.458129671
4.4085,11.372,0.11014,2.7,-0.7053383876337869+0.22144534055185416j          ,0.45345972
4.4085,11.372,0.11014,2.8,-0.6287151541257935+0.3958823775417907j           ,0.447994398
4.4085,11.372,0.11014,2.9,-0.5095488157871711+0.5469831911775533j           ,0.441169393
4.4085,11.372,0.11014,3,-0.35458950296832337+0.6647570332239443j          ,0.432364371
4.4085,11.372,0.11014,3.1,-0.17255228485843138+0.7410649183807131j          ,0.421048496
4.4085,11.372,0.11014,3.2,0.026240736329295442+0.7696908433341874j          ,0.406887429
4.4085,11.372,0.11014,3.3,0.22997812332105524+0.7465503051208907j           ,0.389772705
4.4085,11.372,0.11014,3.4,0.4255156147020595+0.6701756381183666j            ,0.369801076
4.4085,11.372,0.11014,3.5,0.5988220713977891+0.5423717350330214j            ,0.347245028
4.4085,11.372,0.11014,3.6,0.735819456388037+0.3688339270338181j             ,0.322531262
4.4085,11.372,0.11014,3.7,0.8236172659226377+0.1595063164234148j            ,0.296212334
4.4085,11.372,0.11014,3.8,0.8520358780441739-0.07155479127308577j           ,0.268914774
4.4085,11.372,0.11014,3.9,0.8151564822870663-0.30699657187277707j           ,0.241273014
4.4085,11.372,0.11014,4,0.7125310781604007-0.5276659234057954j            ,0.213868136
4.4085,11.372,0.11014,4.1,0.5497314601528038-0.7145652753820431j            ,0.187191789
4.4085,11.372,0.11014,4.2,0.33809865192492455-0.8509111331454227j           ,0.161639545
4.4085,11.372,0.11014,4.3,0.09375372302199327-0.9239505472810468j           ,0.137525626
4.4085,11.372,0.11014,4.4,-0.16393784942199147-0.9262952486050355j          ,0.115101494
4.4085,11.372,0.11014,4.5,-0.4142225612133644-0.8566519801391711j           ,0.094567055
4.4085,11.372,0.11014,4.6,-0.636916748029246-0.7199087029838183j            ,0.076068515
4.4085,11.372,0.11014,4.7,-0.8142529196807975-0.5265925313146442j           ,0.059692489
4.4085,11.372,0.11014,4.8,-0.9324137348399826-0.29178484828863194j          ,0.045466229
4.4085,11.372,0.11014,4.9,-0.9825994406599092-0.03365460493935151j          ,0.033365707
4.4085,11.372,0.11014,5,-0.961560391615172+0.22819545844503245j           ,0.023328446
4.9258,13.579,0.44504,0.1,-0.9584598042986596+0.25002452295146815j          ,0.018842541
4.9258,13.579,0.44504,0.2,-0.8454770635481123+0.46504843395176104j          ,0.068898489
4.9258,13.579,0.44504,0.3,-0.6873838506458431+0.6259394728386165j           ,0.135703218
4.9258,13.579,0.44504,0.4,-0.5098362785347844+0.7310332540605763j           ,0.205657351
4.9258,13.579,0.44504,0.5,-0.3298805269682657+0.7877841178270157j           ,0.270575022
4.9258,13.579,0.44504,0.6,-0.15650432396527042+0.8051022557934856j          ,0.327316754
4.9258,13.579,0.44504,0.7,0.00592395972624317+0.790078027670118j            ,0.375741617
4.9258,13.579,0.44504,0.8,0.15485366423174748+0.7476660504828028j           ,0.41701582
4.9258,13.579,0.44504,0.9,0.28806783296864674+0.6814297344104577j           ,0.452670441
4.9258,13.579,0.44504,1,0.4031359848500071+0.5943816271711763j            ,0.484191859
4.9258,13.579,0.44504,1.1,0.49737216836793285+0.4896277641198404j           ,0.512885579
4.9258,13.579,0.44504,1.2,0.5680246672269976+0.370788242803733j             ,0.539864056
4.9258,13.579,0.44504,1.3,0.6125726664597678+0.24224026764594736j           ,0.566074381
4.9258,13.579,0.44504,1.4,0.6290766325991067+0.10922231278205247j           ,0.592333077
4.9258,13.579,0.44504,1.5,0.6165702182483389-0.022185597796568375j          ,0.619348965
4.9258,13.579,0.44504,1.6,0.5754862645679775-0.14521792222875565j           ,0.647727314
4.9258,13.579,0.44504,1.7,0.5081027179195873-0.25275845629691973j           ,0.677944791
4.9258,13.579,0.44504,1.8,0.418954009796333-0.337920830963231j              ,0.71028705
4.9258,13.579,0.44504,1.9,0.3150812047976845-0.3949442348058481j            ,0.744742886
4.9258,13.579,0.44504,2,0.20588813265022168-0.4204131948793644j           ,0.780862822
4.9258,13.579,0.44504,2.1,0.10228415419400803-0.41463036469859077j          ,0.817619612
4.9258,13.579,0.44504,2.2,0.014853932304659118-0.3826586810993433j          ,0.853351694
4.9258,13.579,0.44504,2.3,-0.04881501707264898-0.33423472055643344j         ,0.885904246
4.9258,13.579,0.44504,2.4,-0.08677072427314184-0.28183140891167713j         ,0.913041898
4.9258,13.579,0.44504,2.5,-0.10380103769318795-0.23699456255013288j         ,0.933058922
4.9258,13.579,0.44504,2.6,-0.10984164402636643-0.20642518666103027j         ,0.945323456
4.9258,13.579,0.44504,2.7,-0.11610165081611586-0.18991127704032287j         ,0.950454114
4.9258,13.579,0.44504,2.8,-0.1308585342733771-0.18120424337664565j          ,0.950041066
4.9258,13.579,0.44504,2.9,-0.15695159473759318-0.17107974704474152j         ,0.946097917
4.9258,13.579,0.44504,3,-0.19163833581530954-0.15079607976794146j         ,0.940535291
4.9258,13.579,0.44504,3.1,-0.22812182099885683-0.11456615475128915j         ,0.934835031
4.9258,13.579,0.44504,3.2,-0.25764703789245774-0.0606644616552155j          ,0.929937827
4.9258,13.579,0.44504,3.3,-0.27140820587746023+0.008515844423521378j        ,0.926265066
4.9258,13.579,0.44504,3.4,-0.26200527479470476+0.08697692364707024j         ,0.923788251
4.9258,13.579,0.44504,3.5,-0.22450554984292442+0.16586060431644029j         ,0.922087518
4.9258,13.579,0.44504,3.6,-0.15725028459304538+0.23428878022011043j         ,0.920381115
4.9258,13.579,0.44504,3.7,-0.06256147899498345+0.28031430658833584j         ,0.917509951
4.9258,13.579,0.44504,3.8,0.052634865899975736+0.292109549516849j           ,0.911901582
4.9258,13.579,0.44504,3.9,0.17634404661426467+0.2595642451791552j           ,0.90152918
4.9258,13.579,0.44504,4,0.2914663673865071+0.17644470830032036j           ,0.883914622
4.9258,13.579,0.44504,4.1,0.37669110187578897+0.043121580901497474j         ,0.856244343
4.9258,13.579,0.44504,4.2,0.4089906288703833-0.1305202087338075j            ,0.815691141
4.9258,13.579,0.44504,4.3,0.36827974746588316-0.3230372855663103j           ,0.76001694
4.9258,13.579,0.44504,4.4,0.24402636152535426-0.5020186601271671j           ,0.6884284
